Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
87735b08-99ae-4ec6-9c35-4ef6f44ea6a5,14d66010-fcbf-4c26-bda8-d20ccb825b52,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
0b16ca7a-79c5-463c-9949-1233fdbff795,be840d29-1a1d-4c60-a7e0-2c11292688ec,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
005c45c9-5c1b-4d93-9d2c-91942538e5ac,14d66010-fcbf-4c26-bda8-d20ccb825b52,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
d09299e2-e03f-4645-9a70-26de570faf93,103b61fd-0d2a-4d46-926f-9c6eedd19a7b,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
b68e1f79-7711-49c3-9cf2-fb8d367c37f0,ca762762-fc34-4d7f-8dbc-b41227188fd6,Product Code,#N/A,Value,#N/A,#N/A,Quote,not equals,#N/A,#N/A,123
b1dac214-3105-4b48-9576-e46041b2c996,09934898-8bc7-4317-8bc5-691eee72fe83,Product Code,#N/A,Value,#N/A,333.0,Quote Line,equals,#N/A,#N/A,EP-015
f8c789b4-069e-4f18-a7b3-bf235d5916e3,adc13b63-26f4-4941-9e2d-ed2d47cf759f,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
d9924b2d-a621-4cbc-966d-b2b766a697bd,14d66010-fcbf-4c26-bda8-d20ccb825b52,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
5796ea24-0e68-41da-adca-42164e4960cd,fa8d70ef-459c-4950-94c8-b86f230009e1,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,EP-025
02d43469-4ea4-41ce-b660-7602bd980a42,37e511f3-61d8-4099-9fc9-da65a6385188,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
03a3546d-aae7-4517-859e-890ec71c6d33,188b3dfe-3114-472b-b3c4-6ee90d62cea6,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
3e0a2208-0796-464e-ad8c-bf30438108b0,86a81bff-b40c-414d-9a24-5d02353bb4c5,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
bc686f23-7328-4966-92be-2b532a3b17c7,5c002df8-2145-4fd0-97c5-ea63212829ee,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
cb5966cf-14d2-4e9e-828a-2c2db5f9146d,6999b0a3-a429-4674-b39a-6201d1e19b51,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
08d42052-a6e7-40c0-aebe-76cc3a785e02,09934898-8bc7-4317-8bc5-691eee72fe83,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
